"","ko","ko_description"
"2252","K18781","blaVIM; metallo-beta-lactamase class B VIM [EC:3.5.2.6]"
"2253","K18782","blaIMP; metallo-beta-lactamase class B IMP [EC:3.5.2.6]"
"2254","K18793","blaOXA-23; beta-lactamase class D OXA-23 [EC:3.5.2.6]"
"2255","K18794","blaOXA-51; beta-lactamase class D OXA-51 [EC:3.5.2.6]"
"2256","K18800","ubiI; 2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]"
"2257","K18851","fbp; diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase / mycolyltransferase Ag85 [EC:2.3.1.20 2.3.1.122 2.3.1.-]"
"2258","K18856","vanC, vanE, vanG; D-alanine---D-serine ligase [EC:6.3.2.35]"
"2259","K18859","sdhD, frdD; succinate dehydrogenase subunit D"
"2260","K18860","sdhD, frdD; succinate dehydrogenase subunit D"
"2261","K18861","K18861; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]"
"2262","K18866","vanXY; zinc D-Ala-D-Ala dipeptidase/carboxypeptidase [EC:3.4.13.22 3.4.17.14]"
"2263","K18884","FGAMT; 4-dimethylallyltryptophan N-methyltransferase [EC:2.1.1.261]"
"2264","K18898","mdtE; membrane fusion protein, multidrug efflux system"
"2265","K18899","mdtF; multidrug efflux pump"
"2266","K18900","bpeT; LysR family transcriptional regulator, regulator for bpeEF and oprC"
"2267","K18901","bpeE; membrane fusion protein, multidrug efflux system"
"2268","K18902","bpeF; multidrug efflux pump"
"2269","K18903","oprC, opcM; outer membrane protein, multidrug efflux system"
"2270","K18906","mgrA; MarR family transcriptional regulator, multiple gene regulator MgrA"
"2271","K18907","norG; GntR family transcriptional regulator, regulator for abcA and norABC"
"2272","K18908","mepA; MATE family, multidrug efflux pump"
"2273","K18909","mepR; MarR family transcriptional regulator, repressor for mepA"
"2274","K18931","deoA; AMP phosphorylase [EC:2.4.2.57]"
"2275","K18933","mfnA, adc; tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]"
"2276","K18938","qacR; TetR/AcrR family transcriptional regulator, repressor for qacA"
"2277","K18970","blaGES; beta-lactamase class A GES [EC:3.5.2.6]"
"2278","K18971","blaOXA-24; beta-lactamase class D OXA-24 [EC:3.5.2.6]"
"2279","K18972","blaOXA-58; beta-lactamase class D OXA-58 [EC:3.5.2.6]"
"2280","K18976","blaOXA-48; beta-lactamase class D OXA-48 [EC:3.5.2.6]"
"2281","K18978","gapN; glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]"
"2282","K19007","AGPAT5; lysophosphatidiate acyltransferase [EC:2.3.1.51]"
"2283","K19068","wbjC; UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]"
"2284","K19077","graS; two-component system, OmpR family, sensor histidine kinase GraS [EC:2.7.13.3]"
"2285","K19078","graR; two-component system, OmpR family, response regulator protein GraR"
"2286","K19079","vraF; cationic antimicrobial peptide transport system ATP-binding protein"
"2287","K19080","vraG; cationic antimicrobial peptide transport system permease protein"
"2288","K19099","blaGIM; metallo-beta-lactamase class B GIM [EC:3.5.2.6]"
"2289","K19102","nocA; nocardicin nonribosomal peptide synthetase NocA"
"2290","K19103","nocB; nocardicin nonribosomal peptide synthetase NocB"
"2291","K19104","nat; isonocardicin synthase [EC:2.5.1.38]"
"2292","K19105","nocJ; nocardicin-A epimerase [EC:5.1.1.14]"
"2293","K19106","nocL; nocardicin C N-oxygenase [EC:1.14.15.43]"
"2294","K19182","FGAOX3; chanoclavine-I aldehyde reductase [EC:1.3.1.100]"
"2295","K19183","FGAFS; festuclavine dehydrogenase [EC:1.5.1.44]"
"2296","K19184","FGAAT; fumigaclavine B O-acetyltransferase [EC:2.3.1.205]"
"2297","K19185","kdhA; 6-hydroxypseudooxynicotine dehydrogenase subunit alpha [EC:1.5.99.14]"
"2298","K19186","kdhB; 6-hydroxypseudooxynicotine dehydrogenase subunit beta [EC:1.5.99.14]"
"2299","K19187","kdhL; 6-hydroxypseudooxynicotine dehydrogenase subunit gamma [EC:1.5.99.14]"
"2300","K19188","dhponh; 2,6-dihydroxypseudooxynicotine hydrolase [EC:3.7.1.19]"
"2301","K19211","blaOXA-62; beta-lactamase class D OXA-62 [EC:3.5.2.6]"
"2302","K19216","blaIND; metallo-beta-lactamase class B IND [EC:3.5.2.6]"
"2303","K19221","cobA, btuR; cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
"2304","K19222","menI, DHNAT; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]"
"2305","K19243","azf; NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]"
"2306","K19268","glmE, mutE, mamB; methylaspartate mutase epsilon subunit [EC:5.4.99.1]"
"2307","K19269","PGP, PGLP; phosphoglycolate phosphatase [EC:3.1.3.18 3.1.3.48]"
"2308","K19280","mct; succinyl-CoA:mesaconate CoA transferase [EC:2.8.3.26]"
"2309","K19281","mcl; beta-methylmalyl-CoA/(S)-malyl-CoA lyase [EC:4.1.3.24]"
"2310","K19282","aceB; bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]"
"2311","K19298","subB, artB, pltB; subtilase cytotoxin, subunit B"
"2312","K19312","pccB; acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]"
"2313","K19316","blaIMI; beta-lactamase class A IMI [EC:3.5.2.6]"
"2314","K19318","blaOXA-213; beta-lactamase class D OXA-213 [EC:3.5.2.6]"
"2315","K19319","blaOXA-134; beta-lactamase class D OXA-134 [EC:3.5.2.6]"
"2316","K19320","blaOXA-211; beta-lactamase class D OXA-211 [EC:3.5.2.6]"
"2317","K19321","blaOXA-214; beta-lactamase class D OXA-214 [EC:3.5.2.6]"
"2318","K19322","blaOXA-229; beta-lactamase class D OXA-229 [EC:3.5.2.6]"
"2319","K19412","argX; glutamate---[amino group carrier protein] ligase [EC:6.3.2.60]"
"2320","K19515","bamB; benzoyl-CoA reductase subunit BamB [EC:1.3.-.-]"
"2321","K19516","bamC; benzoyl-CoA reductase subunit BamC [EC:1.3.-.-]"
"2322","K19532","LBR; Delta14-sterol reductase (lamin-B receptor) [EC:1.3.1.70]"
"2323","K19546","bacA; prephenate decarboxylase [EC:4.1.1.100]"
"2324","K19547","bacB; 3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate isomerase [EC:5.3.3.19]"
"2325","K19548","bacC; dihydroanticapsin dehydrogenase [EC:1.1.1.385]"
"2326","K19549","bacF; bacilysin biosynthesis transaminase BacF [EC:2.6.1.-]"
"2327","K19550","bacG; bacilysin biosynthesis oxidoreductase BacG [EC:1.3.1.-]"
"2328","K19560","bioK; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]"
"2329","K19561","bioJ; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]"
"2330","K19562","BIO3-BIO1; bifunctional dethiobiotin synthetase / adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:6.3.3.3 2.6.1.62]"
"2331","K19563","bioA, bioK; lysine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.105]"
"2332","K19566","elmGT; 8-demethyltetracenomycin C L-rhamnosyltransferase [EC:2.4.1.331]"
"2333","K19567","elmMI; 8-demethyl-8-alpha-L-rhamnosyltetracenomycin-C 2'-O-methyltransferase [EC:2.1.1.305]"
"2334","K19568","elmMII; 8-demethyl-8-(2-methoxy-alpha-L-rhamnosyl)tetracenomycin-C 3'-O-methyltransferase [EC:2.1.1.306]"
"2335","K19569","elmMIII; 8-demethyl-8-(2,3-dimethoxy-alpha-L-rhamnosyl)tetracenomycin-C 4'-O-methyltransferase [EC:2.1.1.307]"
"2336","K19570","elmD; 8-demethyl-8-(2,3,4-trimethoxy-alpha-L-rhamnosyl)tetracenomycin-C O-methyltransferase [EC:2.1.1.-]"
"2337","K19572","CECR1, ADA2; adenosine deaminase CECR1 [EC:3.5.4.4]"
"2338","K19591","cueR; MerR family transcriptional regulator, copper efflux regulator"
"2339","K19593","opmE; outer membrane protein, multidrug efflux system"
"2340","K19594","gesB, mexQ; gold/copper resistance efflux pump"
"2341","K19595","gesA, mexP; membrane fusion protein, gold/copper resistance efflux system"
"2342","K19634","gar1; D-galacturonate reductase [EC:1.1.1.365]"
"2343","K19650","SDH; secoisolariciresinol dehydrogenase [EC:1.1.1.331]"
"2344","K19700","sap; 3-succinoylsemialdehyde-pyridine dehydrogenase [EC:1.2.1.83]"
"2345","K19713","tsdA; thiosulfate dehydrogenase [EC:1.8.2.2]"
"2346","K19723","dcsB; Nomega-hydroxy-L-arginine amidinohydrolase [EC:3.5.3.25]"
"2347","K19724","dcsC; O-ureido-serine racemase [EC:5.1.1.19]"
"2348","K19725","dcsD; O-ureido-L-serine/cysteine synthase [EC:2.6.99.3 2.5.1.47]"
"2349","K19726","dcsE; serine/homoserine O-acetyltransferase [EC:2.3.1.30 2.3.1.31]"
"2350","K19727","dcsG; O-ureido-D-serine cyclo-ligase [EC:6.3.3.5]"
"2351","K19741","dcsA; Nomega-hydroxy-L-arginine synthase [EC:1.14.-.-]"
"2352","K19744","dauB; L-arginine dehydrogenase [EC:1.4.1.25]"
"2353","K19746","dauA; D-arginine dehydrogenase [EC:1.4.99.6]"
"2354","K19793","mfnC; (5-formylfuran-3-yl)methyl phosphate transaminase [EC:2.6.1.108]"
"2355","K19801","PI4KB; phosphatidylinositol 4-kinase B [EC:2.7.1.67]"
"2356","K19818","ndhA; nicotine dehydrogenase subunit A [EC:1.5.99.4]"
"2357","K19819","ndhB; nicotine dehydrogenase subunit B [EC:1.5.99.4]"
"2358","K19820","ndhC; nicotine dehydrogenase subunit C [EC:1.5.99.4]"
"2359","K19826","nctB, 6-hlno; (S)-6-hydroxynicotine oxidase [EC:1.5.3.5]"
"2360","K19834","cyc2; terpentetriene synthase [EC:4.2.3.36]"
"2361","K19835","cyc1; terpentedienyl-diphosphate synthase [EC:5.5.1.15]"
"2362","K19853","tyl1a; TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase [EC:5.3.2.4]"
"2363","K19854","tylB; dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose transaminase [EC:2.6.1.89]"
"2364","K19855","novW; dTDP-4-dehydro-6-deoxy-D-glucose 3-epimerase [EC:5.1.3.27]"
"2365","K19856","aveBVII, avrH; 3-O-methyltransferase [EC:2.1.1.-]"
"2366","K19857","aveBIV, avrE; dTDP-4-keto-6-deoxy-L-hexose 4-reductase"
"2367","K19858","oleL; dTDP-4-oxo-2,6-dideoxy-D-glucose 3,5-epimerase [EC:5.1.3.-]"
"2368","K19859","ang14; dTDP-4-keto-6-deoxyhexose reductase"
"2369","K19872","FKTN; fukutin [EC:2.7.8.-]"
"2370","K19873","FKRP; fukutin-related protein [EC:2.7.8.-]"
"2371","K19884","rebO; 7-chloro-L-tryptophan oxidase [EC:1.4.3.23]"
"2372","K19885","rebD; dichlorochromopyrrolate synthase / catalase [EC:1.21.98.2 1.11.1.6]"
"2373","K19886","rebC; flavin-dependent monooxygenase RebC [EC:1.13.12.17]"
"2374","K19887","rebP; cytochrome P450 RebP [EC:1.13.12.17]"
"2375","K19888","rebG; 4'-demethylrebeccamycin synthase [EC:4.3.3.5]"
"2376","K19889","rebM; demethylrebeccamycin-D-glucose O-methyltransferase [EC:2.1.1.164]"
"2377","K19890","6-hdno; (R)-6-hydroxynicotine oxidase [EC:1.5.3.6]"
"2378","K19965","folQ; dihydroneopterin triphosphate pyrophosphohydrolase [EC:3.6.1.67]"
"2379","K19969","acbC, salQ, valA, cetA; 2-epi-5-epi-valiolone synthase [EC:4.2.3.152]"
"2380","K19970","NT5E, CD73; 5'-nucleotidase [EC:3.1.3.5]"
"2381","K19974","acbO; 2-epi-5-epi-valiolone 7-phosphate 2-epimerase [EC:5.1.3.35]"
"2382","K19979","acbM; 2-epi-5-epi-valiolone 7-kinase [EC:2.7.1.188]"
"2383","K19981","prnB; monodechloroaminopyrrolnitrin synthase"
"2384","K19982","prnD; aminopyrrolnitrin oxygenase [EC:1.14.13.-]"
"2385","K20075","staO; tryptophan oxidase StaO [EC:1.4.3.-]"
"2386","K20076","staD; chromopyrrolic acid synthase"
"2387","K20077","staC; flavin-dependent monooxygenase StaC [EC:1.13.12.-]"
"2388","K20078","staP; cytochrome P450 StaP [EC:1.13.12.-]"
"2389","K20079","staG; N-glycosyltransferase StaG [EC:2.4.-.-]"
"2390","K20080","staN; cytochrome P450 StaN [EC:1.14.-.-]"
"2391","K20081","staMA; N-methyltransferase StaMA [EC:2.1.1.-]"
"2392","K20082","staMB; O-methyltransferase StaMB [EC:2.1.1.139]"
"2393","K20086","vioA; tryptophan oxidase VioA [EC:1.4.3.-]"
"2394","K20087","vioB; violacein biosynthesis protein VioB"
"2395","K20088","vioE; violacein biosynthesis protein VioE"
"2396","K20089","vioD; protodeoxyviolaceinate monooxygenase [EC:1.14.13.217]"
"2397","K20090","vioC; violacein synthase [EC:1.14.13.224]"
"2398","K20155","mao; 4-methylaminobutanoate oxidase (methylamine-forming) [EC:1.5.3.21]"
"2399","K20156","sgcG; 2-amino-4-deoxychorismate dehydrogenase [EC:1.3.8.16]"
"2400","K20158","pao; pseudooxynicotine dehydrogenase [EC:1.4.2.3]"
"2401","K20159","sgcD; 2-amino-4-deoxychorismate synthase [EC:2.6.1.86]"
"2402","K20169","nox, nicA2; nicotine dehydrogenase [EC:1.4.2.2]"
"2403","K20170","nicA1; nicotine oxidoreductase"
"2404","K20171","spmA; 3-succinoylpyridine monooxygenase subunit A"
"2405","K20172","spmC; 3-succinoylpyridine monooxygenase subunit C"
"2406","K20204","griF; grixazone synthase / o-aminophenol oxidase [EC:1.10.3.15 1.10.3.4]"
"2407","K20260","phzA_B; phenazine biosynthesis protein"
"2408","K20261","phzD; trans-2,3-dihydro-3-hydroxyanthranilic acid synthase [EC:3.3.2.15]"
"2409","K20262","phzG; dihydrophenazinedicarboxylate synthase [EC:1.10.3.16]"
"2410","K20420","ncsB3; 2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase [EC:1.14.15.31]"
"2411","K20421","ncsB1; 2,7-dihydroxy-5-methyl-1-naphthoate 7-O-methyltransferase [EC:2.1.1.303]"
"2412","K20422","ncsB; neocarzinostatin naphthoate synthase [EC:2.3.1.237]"
"2413","K20423","ncsB2; 2-hydroxy-7-methoxy-5-methyl-1-naphthoate---CoA ligase [EC:6.2.1.43]"
"2414","K20424","acbL; 2-epi-valiolone-7-phosphate 1-reductase [EC:1.1.1.-]"
"2415","K20425","acbN; cyclitol oxidoreductase"
"2416","K20426","acbU; 1-epi-valienol-7-phosphate kinase [EC:2.7.-.-]"
"2417","K20427","acbR, vldB; valienol-1-phosphate guanylyltransferase [EC:2.7.7.91]"
"2418","K20430","acbS; glycosyltransferase AcbS [EC:2.4.-.-]"
"2419","K20431","cetB, valD; 2-epi-5-epi-valiolone epimerase [EC:5.1.3.33]"
"2420","K20432","valK; 5-epi-valiolone dehydratase [EC:4.2.1.-]"
"2421","K20433","valC; C7-cyclitol 7-kinase [EC:2.7.1.214]"
"2422","K20434","valN; cyclitol reductase"
"2423","K20435","valM; validone 7-phosphate aminotransferase [EC:2.6.1.-]"
"2424","K20436","valL, salC; validamine 7-phosphate valienyltransferase [EC:2.5.1.135]"
"2425","K20437","vldH; validoxylamine A 7'-phosphate phosphatase [EC:3.1.3.101]"
"2426","K20438","valG; validoxylamine A glucosyltransferase [EC:2.4.1.338]"
"2427","K20455","acnD; 2-methylcitrate dehydratase (2-methyl-trans-aconitate forming) [EC:4.2.1.117]"
"2428","K20457","DHFS; dihydrofolate synthase [EC:6.3.2.12]"
"2429","K20501","THCAS; tetrahydrocannabinolic acid synthase [EC:1.21.3.7]"
"2430","K20502","CBDAS; cannabidiolic acid synthase [EC:1.21.3.8]"
"2431","K20503","OLS; 3,5,7-trioxododecanoyl-CoA synthase [EC:2.3.1.206]"
"2432","K20508","OAC; olivetolic acid cyclase [EC:4.4.1.26]"
"2433","K20621","CYP82Y1; (S)-N-methylcanadine 1-hydroxylase [EC:1.14.14.166]"
"2434","K20623","CYP92A6; typhasterol/6-deoxotyphasterol 2alpha-hydroxylase"
"2435","K20657","CPS-KS; ent-copalyl diphosphate/ent-kaurene synthase [EC:5.5.1.13 4.2.3.19]"
"2436","K20667","CYP716A; beta-amyrin 28-monooxygenase [EC:1.14.14.126]"
"2437","K20772","ACS1_2_6; 1-aminocyclopropane-1-carboxylate synthase 1/2/6 [EC:4.4.1.14]"
"2438","K20810","mqnX; aminodeoxyfutalosine deaminase [EC:3.5.4.40]"
"2439","K20812","glgA; glycogen synthase [EC:2.4.1.242]"
"2440","K20860","FHY1; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]"
"2441","K20861","ybjI; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]"
"2442","K20862","yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]"
"2443","K20881","yrfG; GMP/IMP 5'-nucleotidase [EC:3.1.3.-]"
"2444","K20884","FHY; riboflavin kinase / FMN hydrolase [EC:2.7.1.26 3.1.3.102]"
"2445","K20932","K20932; hydrazine synthase subunit [EC:1.7.2.7]"
"2446","K20933","K20933; hydrazine synthase subunit [EC:1.7.2.7]"
"2447","K20934","K20934; hydrazine synthase subunit [EC:1.7.2.7]"
"2448","K20935","hdh; hydrazine dehydrogenase [EC:1.7.2.8]"
"2449","K20940","phzS; 5-methylphenazine-1-carboxylate 1-monooxygenase [EC:1.14.13.218]"
"2450","K20967","MOCS1; GTP 3',8-cyclase / cyclic pyranopterin monophosphate synthase [EC:4.1.99.22 4.6.1.17]"
"2451","K20980","LOVA, CYP68R1; dihydromonacolin L/monacolin L hydroxylase [EC:1.14.14.124 1.14.14.125]"
"2452","K20981","LOVB; lovastatin nonaketide synthase [EC:2.3.1.161]"
"2453","K20982","LOVC; lovastatin enoyl reductase [EC:2.3.1.161]"
"2454","K20983","LOVD; monacolin J acid methylbutanoate transferase [EC:2.3.1.238]"
"2455","K20984","LOVF; 2-methylbutanoate polyketide synthase [EC:2.3.1.244]"
"2456","K20985","LOVG; dihydromonacolin L-[lovastatin nonaketide synthase] thioesterase [EC:3.1.2.31]"
"2457","K21026","AAE; acetylajmaline esterase [EC:3.1.1.80]"
"2458","K21031","ISPD; D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40]"
"2459","K21032","B4GAT1; beta-1,4-glucuronyltransferase 1 [EC:2.4.1.-]"
"2460","K21052","TMEM5, RXYLT1; alpha-dystroglycan beta1,4-xylosyltransferase [EC:2.4.2.61]"
"2461","K21056","E2.7.1.212; alpha-D-ribose-1-phosphate 5-kinase (ADP) [EC:2.7.1.212]"
"2462","K21060","lhpB; D-hydroxyproline dehydrogenase [EC:1.5.99.-]"
"2463","K21061","lhpB; D-hydroxyproline dehydrogenase subunit beta [EC:1.5.99.-]"
"2464","K21062","lhpC; 1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22]"
"2465","K21063","K21063; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"
"2466","K21064","ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"
"2467","K21070","CYP719A14; (S)-cheilanthifoline synthase [EC:1.14.19.65]"
"2468","K21071","pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]"
"2469","K21103","phzM; phenazine-1-carboxylate N-methyltransferase [EC:2.1.1.327]"
"2470","K21142","moaX; MoaE-MoaD fusion protein [EC:2.8.1.12]"
"2471","K21160","sgcE2, ncsE2, kedE2; enediyne biosynthesis protein E2"
"2472","K21161","sgcE3, ncsE3, kedE3; enediyne biosynthesis protein E3"
"2473","K21162","sgcE4, ncsE4, kedE4; enediyne biosynthesis protein E4"
"2474","K21163","sgcE5, ncsE5, kedE5; enediyne biosynthesis protein E5"
"2475","K21164","sgcE7, ncsE7, kedE7; enediyne biosynthesis protein E7"
"2476","K21165","sgcE8, ncsE8, kedE8; enediyne biosynthesis protein E8"
"2477","K21166","sgcE9, ncsE9, kedE9; enediyne biosynthesis protein E9"
"2478","K21167","sgcE11, ncsE11, kedE11; enediyne biosynthesis protein E11"
"2479","K21168","calE1; enediyne biosynthesis protein CalE1"
"2480","K21169","calE2; enediyne biosynthesis protein CalE2"
"2481","K21170","calE3; enediyne biosynthesis protein CalE3"
"2482","K21171","calE4; enediyne biosynthesis protein CalE4"
"2483","K21172","calE5; enediyne biosynthesis protein CalE5"
"2484","K21173","calE6; methionine gamma-lyase"
"2485","K21174","calE9; enediyne biosynthesis protein CalE9"
"2486","K21175","sgcD1; 2-amino-4-deoxychorismate synthase, glutamine amidotransferase component [EC:2.6.1.86]"
"2487","K21176","sgcD5; benzoxazolinate moiety biosynthesis protein SgcD5"
"2488","K21177","sgcD3; cytochrome P450 hydroxylase [EC:1.14.-.-]"
"2489","K21178","sgcD4; O-methyltransferase [EC:2.1.1.-]"
"2490","K21179","sgcH; CoA-ligase"
"2491","K21181","sgcC4, mdpC4; MIO-dependent L-tyrosine 2,3-aminomutase [EC:5.4.3.6]"
"2492","K21182","sgcC1, mdpC1; (S)-beta-tyrosine adenylation enzyme [EC:6.2.1.-]"
"2493","K21183","sgcC2, mdpC2, kedY2; peptidyl carrier protein"
"2494","K21184","sgcC, mdpC; two-component FAD-dependent monooxygenase [EC:1.14.14.15 1.14.14.-]"
"2495","K21185","sgcE6, mdpE6, kedE6; flavin reductase"
"2496","K21188","mdpC7; PLP-dependent transaminase"
"2497","K21191","mdpB2; CoA ligase [EC:6.2.1.-]"
"2498","K21192","mdpB1; methyltransferase [EC:2.1.1.-]"
"2499","K21202","2-ODD; (-)-deoxypodophyllotoxin synthase [EC:1.14.20.8]"
"2500","K21203","OMT3; (-)-pluviatolide 4-O-methyltransferase [EC:2.1.1.323]"
"2501","K21204","OMT1; 5'-demethylyatein 5'-O-methyltransferase [EC:2.1.1.330]"
"2502","K21205","CYP71CU1; bursehernin 5'-monooxygenase [EC:1.14.14.131]"
"2503","K21207","CYP719A23_24; (-)-pluviatolide synthase [EC:1.14.19.72]"
"2504","K21219","thiDN; hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]"
"2505","K21220","thiN; thiamine-phosphate diphosphorylase [EC:2.5.1.3]"
"2506","K21221","kedU38; iterative type I polyketide synthase KedU38"
"2507","K21222","kedN3; cytochrome P450 monooxygenase [EC:1.14.-.-]"
"2508","K21223","kedN1; O-methyltransferase [EC:2.1.1.-]"
"2509","K21224","kedN5; radical SAM C-methyltransferase"
"2510","K21225","kedN2; acyl-CoA synthetase"
"2511","K21227","kedY4; MIO-dependent 2-aza-L-tyrosine aminomutase [EC:5.4.3.-]"
"2512","K21228","kedY1; (R)-2-aza-beta-tyrosine adenylation enzyme [EC:6.2.1.-]"
"2513","K21254","calO5; orsellinic acid synthase [EC:2.3.1.-]"
"2514","K21255","calO6; orsellinic acid C2-O-methyltransferase [EC:2.1.1.-]"
"2515","K21256","calO3; flavin-dependent halogenase"
"2516","K21257","calO2; orsellenic acid P450 oxidase [EC:1.14.-.-]"
"2517","K21258","calO1; orsellinic acid C3-O-methyltransferase [EC:2.1.1.-]"
"2518","K21259","calG3; calicheamicinone 4-hydroxyamino-4,6-dideoxy-alpha-D-glucosyltransferase [EC:2.4.1.-]"
"2519","K21260","calG2; calicheamicin 4-deoxy-4-thio-alpha-D-digitoxosyltransferase [EC:2.4.1.-]"
"2520","K21261","calO4; acyltransferase"
"2521","K21262","calG4; calicheamicin aminopentosyltransferase [EC:2.4.2.-]"
"2522","K21263","calG1; calicheamicin 3'-O-methyl-rhamnosyltransferase [EC:2.4.1.-]"
"2523","K21271","auaH; aurachin B dehydrogenase [EC:1.1.1.394]"
"2524","K21272","auaG; aurachin C monooxygenase/isomerase [EC:1.14.13.222]"
"2525","K21277","blaOXA-60; beta-lactamase class D OXA-60 [EC:3.5.2.6]"
"2526","K21292","CYP503; ent-kaurene oxidase [EC:1.14.14.86]"
"2527","K21295","AF510; 5-dehydro-6-demethoxyfumagillol synthase [EC:1.14.14.184]"
"2528","K21297","ctcQ; flavin reductase (NADH) [EC:1.5.1.36]"
"2529","K21301","oxyR, ctcR; 5a,11a-dehydrotetracycline reductase [EC:1.3.98.4]"
"2530","K21344","rfaE1; D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167]"
"2531","K21345","rfaE2; D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [EC:2.7.7.70]"
"2532","K21354","UGT94E5; beta-D-glucosyl crocetin beta-1,6-glucosyltransferase [EC:2.4.1.330]"
"2533","K21371","UGT75L6, UGTCs2; crocetin glucosyltransferase [EC:2.4.1.271]"
"2534","K21428","pigD; 3-acetyloctanal synthase [EC:2.2.1.12]"
"2535","K21456","GSS; glutathione synthase [EC:6.3.2.3]"
"2536","K21477","DTPC; ditryptophenaline biosynthesis cytochrome P450 monooxygenase [EC:1.-.-.-]"
"2537","K21479","cbiH60; cobalt-factor III methyltransferase [EC:2.1.1.272]"
"2538","K21539","mycF; mycinamicin III 3''-O-methyltransferase [EC:2.1.1.237]"
"2539","K21540","mycE; mycinamicin VI 2''-O-methyltransferase [EC:2.1.1.238]"
"2540","K21568","PLR; pinoresinol/lariciresinol reductase [EC:1.23.1.1 1.23.1.2 1.23.1.3 1.23.1.4]"
"2541","K21610","cfbC; Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbC [EC:6.3.3.7]"
"2542","K21611","cfbD; Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbD [EC:6.3.3.7]"
"2543","K21612","cfbE; coenzyme F430 synthetase [EC:6.4.1.9]"
"2544","K21692","CYP82N4; methyltetrahydroprotoberberine 14-monooxygenase [EC:1.14.14.97]"
"2545","K21693","CYP82N2_3; protopine 6-monooxygenase [EC:1.14.14.98]"
"2546","K21721","sbnB; N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase [EC:1.5.1.51]"
"2547","K21722","ndmA; methylxanthine N1-demethylase [EC:1.14.13.178]"
"2548","K21723","ndmB; methylxanthine N3-demethylase [EC:1.14.13.179]"
"2549","K21724","ndmC; 7-methylxanthine demethylase [EC:1.14.13.128]"
"2550","K21778","pigE; 3-acetyloctanal aminotransferase [EC:2.6.1.-]"
"2551","K21779","pigB; 2-methyl-3-n-amyl-dihydropyrrolel dehydrogenase"
"2552","K21780","pigI, redM, pltF; L-proline---[L-prolyl-carrier protein] ligase [EC:6.2.1.53]"
"2553","K21781","pigG, redO; peptidyl carrier protein"
"2554","K21782","pigA, redW, pltE; L-prolyl-PCP dehydrogenase [EC:1.3.8.14]"
"2555","K21783","pigJ, redX; beta-ketoacyl ACP synthase [EC:2.3.1.-]"
"2556","K21784","pigH, redN; 4-hydroxy-2,2'-bipyrrole-5-methanol synthase"
"2557","K21785","pigM, redV; 4-hydroxy-2,2'-bipyrrole-5-methanol dehydrogenase"
"2558","K21786","pigF; 4-hydroxy-2,2'-bipyrrole-5-carbaldehyde O-methyltransferase [EC:2.1.1.-]"
"2559","K21787","pigC, redH; prodigiosin/undecylprodigiosin synthetase"
"2560","K21791","redJ; thioesterase"
