"","ko","ko_description"
"113","K00239","sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]"
"114","K00240","sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]"
"115","K00241","sdhC, frdC; succinate dehydrogenase cytochrome b subunit"
"116","K00242","sdhD, frdD; succinate dehydrogenase membrane anchor subunit"
"117","K00244","frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]"
"118","K00245","frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]"
"119","K00246","frdC; succinate dehydrogenase subunit C"
"120","K00247","frdD; succinate dehydrogenase subunit D"
"121","K00248","ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"
"122","K00249","ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"
"123","K00251","AKR1D1; 3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3]"
"124","K00252","GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]"
"125","K00253","IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]"
"126","K00254","DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]"
"127","K00255","ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]"
"128","K00261","GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"
"129","K00274","MAO, aofH; monoamine oxidase [EC:1.4.3.4]"
"130","K00275","pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]"
"131","K00278","nadB; L-aspartate oxidase [EC:1.4.3.16]"
"132","K00281","GLDC, gcvP; glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]"
"133","K00282","gcvPA; glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2]"
"134","K00283","gcvPB; glycine cleavage system P protein (glycine dehydrogenase) subunit 2 [EC:1.4.4.2]"
"135","K00286","proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]"
"136","K00287","DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"
"137","K00288","MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]"
"138","K00290","LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]"
"139","K00293","LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]"
"140","K00294","E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]"
"141","K00297","metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]"
"142","K00300","mtdA; methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]"
"143","K00301","E1.5.3.1; sarcosine oxidase [EC:1.5.3.1]"
"144","K00302","soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]"
"145","K00303","soxB; sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]"
"146","K00304","soxD; sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]"
